id;title;type;status;start_date;end_date;priority;size
1;withdrawal Moldovan Leu Intelligent;EPIC;COMPLETE;2020-09-29T15:48:43;2020-09-29T16:53:04;17396;methodologies
2;deposit;BUG;COMPLETE;2020-09-29T20:03:40;2020-09-29T09:46:42;46567;circuit PNG solid state
3;Wisconsin Pakistan Rupee proactive;STORY;IN_PROGRESS;2020-09-29T12:07:00;2020-09-30T03:24:24;80800;Health Uganda Shilling driver
4;Reduced;STORY;PLANNED;2020-09-29T13:55:15;2020-09-29T20:15:21;22898;TCP Agent architectures
5;Plastic invoice real-time;BUG;IN_PROGRESS;2020-09-29T22:11:38;2020-09-30T05:20:24;14730;logistical
6;Borders;BUG;IN_PROGRESS;2020-09-29T12:40:04;2020-09-29T08:15:49;55140;payment Gorgeous Frozen Bacon
7;Colombian Peso Unidad de Valor Real initiatives;STORY;COMPLETE;2020-09-29T07:51:11;2020-09-29T14:03:00;30344;collaboration Egyptian Pound homogeneous
8;compressing definition Lodge;BUG;IN_PROGRESS;2020-09-29T07:19:16;2020-09-29T17:57:48;20019;fuchsia
9;Cotton;STORY;COMPLETE;2020-09-30T02:56:17;2020-09-30T02:32:48;98531;Quality real-time
10;withdrawal deposit niches;TASK;COMPLETE;2020-09-29T13:26:19;2020-09-29T16:43:36;49580;Bike Home Loan Account
